stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,1,1.0,16.24808093500178,,16.24011604700354,16.24808093500178,16.737330862000817,16.737330862000817,16.737330862000817,17.031917500004056,17.4894379690013,right,1.0,1,1,0.7477135709996219,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
16,1,1.0,17.49809947900212,,17.48969448400021,17.49809947900212,17.98726125700341,17.98726125700341,17.98726125700341,18.28197449000436,18.63962800399895,right,1.0,1,1,0.6466021679952973,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
17,0.5,1.0,18.648564991999592,,18.63987558700319,18.648564991999592,19.13746846200229,19.13746846200229,19.13746846200229,19.4313924540038,19.584360288004973,left,-1.0,0,0,0.43914518400561064,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
18,0.5,1.5,19.59010848899925,,19.584617494001577,19.59010848899925,20.081760376000602,20.081760376000602,20.087879872000485,20.381928285001777,20.834343368005648,right,1.5,0,0,0.7441518000050564,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
19,0.5,2.0,20.839936727999884,,20.834590730002674,20.839936727999884,21.331875415002287,21.331875415002287,21.337375043003703,21.619882789003896,21.834704908003914,right,2.0,1,1,0.4948803779989248,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
20,0.5,2.0,21.840292999004305,,21.834953613004473,21.840292999004305,22.33146487599879,22.33146487599879,22.337592486001085,22.619525521004107,22.933717074003653,left,-2.0,1,1,0.594174268997449,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
21,0.5,2.0,22.938423507999687,,22.933891853004752,22.938423507999687,23.4319313110027,23.4319313110027,23.43810741800553,23.72028066799976,24.067220998003904,right,2.0,1,1,0.626625179000257,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
22,0.5,1.5,24.072240916000737,,24.067438990001392,24.072240916000737,24.56536027900438,24.56536027900438,24.57180760900519,24.85223469199991,25.03959330300131,right,1.5,0,0,0.4686120149999624,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
23,0.5,2.0,25.04754046400194,,25.0398464050013,25.04754046400194,25.537360267000622,25.537360267000622,25.537360267000622,25.831950505998975,25.96726725299959,right,2.0,1,1,0.418358957998862,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
24,0.5,2.0,25.972979782003677,,25.967527020999114,25.972979782003677,26.46465898200404,26.46465898200404,26.470573901002354,26.75270362500305,26.906546281003102,right,2.0,0,0,0.4360656700009713,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
25,0.5,2.5,26.914028999999573,,26.90676252900448,26.914028999999573,27.404214763999335,27.404214763999335,27.404214763999335,27.698202316998504,28.374054245003208,right,2.5,1,1,0.9639745980020962,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
26,0.5,2.5,28.38090101200214,,28.37432142400212,28.38090101200214,28.87029912500293,28.87029912500293,28.87029912500293,29.16482781800005,30.22183329100517,right,2.5,0,0,1.3472096330006025,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
27,0.5,3.0,30.23071021999931,,30.222042011999292,30.23071021999931,30.721318941999925,30.721318941999925,30.721318941999925,,30.75730505699903,right,3.0,1,1,0.03029633300320711,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
28,0.5,3.0,30.764316031003546,,30.757570488000056,30.764316031003546,31.253868290004903,31.253868290004903,31.253868290004903,31.548168368004553,32.023359864004306,right,3.0,0,0,0.7648734829999739,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
29,0.5,3.5,32.03108234800311,,32.0236131030033,32.03108234800311,32.520412918005604,32.520412918005604,32.520412918005604,32.814946183003485,34.667868263000855,left,-3.5,1,1,2.1415416859963443,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
30,0.5,3.5,34.674535721998836,,34.66812672900414,34.674535721998836,35.16498711999884,35.16498711999884,35.17131645599875,35.465038141999685,35.7895712440004,right,3.5,1,1,0.621208790995297,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
31,0.5,3.5,35.79753839300247,,35.78982915799861,35.79753839300247,36.28712908000307,36.28712908000307,36.28712908000307,36.58179402600217,37.033781395002734,left,-3.5,1,1,0.7395348569989437,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
32,0.5,3.0,37.03923530300381,,37.03400689300179,37.03923530300381,37.53166650500498,37.53166650500498,37.537825179999345,37.82042632900266,38.257174942002166,right,3.0,1,1,0.722693795003579,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
33,0.5,3.0,38.264136525998765,,38.257521078005084,38.264136525998765,38.75398391300405,38.75398391300405,38.75398391300405,39.04818660100136,39.5057738079995,left,-3.0,1,1,0.7487525380056468,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
34,0.5,3.0,39.514315786000225,,39.5060310129993,39.514315786000225,40.00357884800178,40.00357884800178,40.00357884800178,40.29815032899933,40.50682012100151,right,3.0,1,1,0.4980357989988988,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
35,0.5,2.5,40.514241552002204,,40.50707628600503,40.514241552002204,41.004024494002806,41.004024494002806,41.004024494002806,41.29826564700488,41.46820737000235,left,-2.5,1,1,0.4581480310007464,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
36,0.5,2.5,41.474419748999935,,41.46846780600026,41.474419748999935,41.96486903800542,41.96486903800542,41.97110733400041,42.25386461800372,42.70507765799994,left,-2.5,0,0,0.7357365809948533,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
