delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Beep.started,sound_1.started,sound_1.stopped,Beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1,400,unexp,224,8,18,space,0.30863539400161244,None,321,1,[1.9240041150042089],[1.9240210130010382],18,8,224,0,968.8235430119967,,968.817292517997,968.8235430119967,969.8153020050013,969.8153020050013,969.8153020050013,970.133764749,space,0.30863539400161244,None,970.1344353789973,970.2380879136656,970.5435334380018,970.5247429090014,970.5254778509989,970.5435334380018,970.5435334380018,970.5435334380018,972.4691293889991,321,1,[1.9240041150042089],[1.9240210130010382],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.1,1000,exp,225,9,18,space,0.2851284600037616,None,431,1,[2.5540202670017607],[2.554033114996855],18,9,225,9,972.4755589530032,,972.4694049600002,972.4755589530032,973.4652384849978,973.4652384849978,973.4719961640003,973.7594239250029,space,0.2851284600037616,None,973.7600270230032,973.8656400486691,974.1690919829998,974.1523578089982,974.1531367339994,974.1690919829998,974.1690919829998,974.1690919829998,976.7242530310032,431,1,[2.5540202670017607],[2.554033114996855],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.7,1000,exp,226,10,18,space,0.5352552379990811,None,342,1,[1.6073852690024069],[1.6073960099965916],18,10,226,5,976.731202146002,,976.7245175549979,976.731202146002,977.7217663139963,977.7217663139963,977.7217663139963,978.2592145129966,space,0.5352552379990811,None,978.2598311449983,978.966130781668,979.2699709860026,979.2529260680021,979.253698458997,979.2699709860026,979.2699709860026,979.2699709860026,980.8791426719981,342,1,[1.6073852690024069],[1.6073960099965916],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.4,1000,exp,227,11,18,space,0.3197598780025146,None,254,1,[2.055942236998817],[2.0559692249953514],18,11,227,4,980.8867699370021,,980.8796292219995,980.8867699370021,981.871458241003,981.871458241003,981.8824665819993,982.2011725670018,space,0.3197598780025146,None,982.2018787859997,982.605393219663,982.9090537669981,982.8921146450011,982.8928458049995,982.9090537669981,982.9090537669981,982.9090537669981,984.966462577002,254,1,[2.055942236998817],[2.0559692249953514],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.7,1000,exp,228,0,19,space,0.279764366998279,None,532,1,[1.6256558150053024],[1.6256670340007986],19,0,228,8,984.9726455089985,,984.9667193209971,984.9726455089985,985.9569671529971,985.9569671529971,985.9646175770031,986.2410146260008,space,0.279764366998279,None,986.2416732330021,986.9493038956682,987.2517593459997,987.2351003270014,987.2357695179962,987.2517593459997,987.2517593459997,987.2517593459997,988.8786269639968,532,1,[1.6256558150053024],[1.6256670340007986],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.1,400,unexp,229,1,19,space,0.7096661640025559,None,142,1,[1.847110786002304],[1.8471221329964465],19,1,229,0,988.8854208549965,,988.8789684919975,988.8854208549965,989.8715688029988,989.8715688029988,989.8823724190006,990.5843495719964,space,0.7096661640025559,None,990.5849003620024,990.6878275496676,990.9914294920018,990.9747440720021,990.9754523590018,990.9914294920018,990.9914294920018,990.9914294920018,992.8396294880004,142,1,[1.847110786002304],[1.8471221329964465],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.1,1000,exp,230,2,19,space,0.26062954000371974,None,131,1,[2.352201720001176],[2.3522121060013887],19,2,230,6,992.8486578860029,,992.8398892940022,992.8486578860029,993.8379556569998,993.8379556569998,993.8379556569998,994.1165081029976,space,0.26062954000371974,None,994.1171177110009,994.2159170106645,994.5190764489962,994.5022814069962,994.5030238239997,994.5190764489962,994.5190764489962,994.5190764489962,996.8724370630007,131,1,[2.352201720001176],[2.3522121060013887],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.1,1000,exp,231,3,19,space,0.3949023050008691,None,321,1,[1.9236229290036135],[1.9236428029980743],19,3,231,9,996.8823723820024,,996.8728014500011,996.8823723820024,997.864917396997,997.864917396997,997.8714985069964,998.2667633599995,space,0.3949023050008691,None,998.2673128789975,998.3664066866661,998.6742045409992,998.6586123980014,998.6593124880019,998.6742045409992,998.6742045409992,998.6742045409992,1000.5995036020031,321,1,[1.9236229290036135],[1.9236428029980743],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.4,1000,exp,232,4,19,space,0.49700119600311154,None,342,1,[1.641352206999727],[1.6413625069981208],19,4,232,10,1000.6063423989981,,1000.5997688549978,1000.6063423989981,1001.5890615969984,1001.5890615969984,1001.5989746850028,1002.0905016359975,space,0.49700119600311154,None,1002.0910580560012,1002.4981209136643,1002.8015177650013,1002.785382834998,1002.7860839350033,1002.8015177650013,1002.8015177650013,1002.8015177650013,1004.4442270919972,342,1,[1.641352206999727],[1.6413625069981208],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.4,1000,exp,233,5,19,space,0.45329521700477926,None,234,1,[3.098658200004138],[3.0987248060046113],19,5,233,7,1004.4517330800008,,1004.4444978120009,1004.4517330800008,1005.4379221819981,1005.4379221819981,1005.4484633410029,1005.9011662589983,space,0.45329521700477926,None,1005.9017463630007,1006.306689706664,1006.6173730290029,1006.6020527869987,1006.6028325730003,1006.6173730290029,1006.6173730290029,1006.6173730290029,1009.7175113869962,234,1,[3.098658200004138],[3.0987248060046113],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
