pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,121,121,27,x,1,0.5807562030004192,None,,,,,27,121,121,0,793.124774240001,,793.1116067490002,793.124774240001,794.1041967199999,794.1041967199999,794.1041967199999,794.1041967199999,794.1208402730008,795.1046760850004,795.1046760850004,795.6931388920002,,,,,x,1,0.5807562030004192,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
150,v,122,122,31,v,1,0.3869350419990951,None,,,,,31,122,122,1,795.7204708829995,,795.6936306890002,795.7204708829995,796.6875782440002,796.6875782440002,796.6875782440002,796.6875782440002,796.7119019950005,797.6878856060011,797.6878856060011,798.080377747001,,,,,v,1,0.3869350419990951,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-150,z,123,123,31,z,1,0.4220361710013094,None,,,,,31,123,123,3,798.090217985,,798.0807414909996,798.090217985,799.0782946319996,799.0782946319996,799.0782946319996,799.0782946319996,799.0886179919999,800.0703592539994,800.0703592539994,800.4973938429994,,,,,z,1,0.4220361710013094,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-150,z,124,124,32,z,1,0.417928432001645,None,,,,,32,124,124,3,800.5091131070003,,800.4977662780002,800.5091131070003,801.4950674770007,801.4950674770007,801.4950674770007,801.4950674770007,801.5047994979996,802.4961395000009,802.4961395000009,802.9256653640005,,,,,z,1,0.417928432001645,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-150,z,125,125,33,z,1,0.42871825399925,None,,,,,33,125,125,3,802.9533730060011,,802.9262698309994,802.9533730060011,803.92095066,803.92095066,803.92095066,803.92095066,803.9455433889998,804.9210099699994,804.9210099699994,805.3595187659994,,,,,z,1,0.42871825399925,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
150,v,126,126,32,v,1,0.5610354680011369,None,,,,,32,126,126,1,805.371038841,,805.3599975100005,805.371038841,806.3548518520001,806.3548518520001,806.3548518520001,806.3548518520001,806.3625653029994,807.3716848029999,807.3716848029999,807.942909712001,,,,,v,1,0.5610354680011369,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
150,v,127,127,33,v,1,0.44983860200045456,None,,,,,33,127,127,1,807.970255925,,807.9435188179996,807.970255925,808.9372376880001,808.9372376880001,808.9372376880001,808.9372376880001,808.9626097370001,809.9539347720001,809.9539347720001,810.4085297090005,,,,,v,1,0.44983860200045456,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
150,v,128,128,34,v,1,0.42704262899860623,None,,,,,34,128,128,1,810.4203717439996,,810.4090369490004,810.4203717439996,811.404056450001,811.404056450001,811.404056450001,811.404056450001,811.4114783460009,812.40316093,812.40316093,812.8403697989997,,,,,v,1,0.42704262899860623,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-150,z,129,129,34,z,1,0.5476561199993739,None,,,,,34,129,129,3,812.8533916600009,,812.8407910300011,812.8533916600009,813.8370444779994,813.8370444779994,813.8370444779994,813.8370444779994,813.843909307001,814.8388199760011,814.8388199760011,815.3910666579995,,,,,z,1,0.5476561199993739,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
150,v,130,130,35,v,1,0.46522863499922096,None,,,,,35,130,130,1,815.4029090820004,,815.3916668530001,815.4029090820004,816.387187888,816.387187888,816.387187888,816.387187888,816.3951966429995,817.4038166509999,817.4038166509999,817.8734705790012,,,,,v,1,0.46522863499922096,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-150,z,131,131,35,z,1,0.54138237099869,None,,,,,35,131,131,3,817.8847709639995,,817.8739625279995,817.8847709639995,818.8706967859998,818.8706967859998,818.8706967859998,818.8706967859998,818.8780506610001,819.880609541,819.880609541,820.4246006980011,,,,,z,1,0.54138237099869,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
50,c,132,132,32,c,1,0.6191940949993295,None,,,,,32,132,132,2,820.4359382929997,,820.4252387939996,820.4359382929997,821.4209166290002,821.4209166290002,821.4209166290002,821.4209166290002,821.4279192810009,822.4373890790012,822.4373890790012,823.0658595929999,,,,,c,1,0.6191940949993295,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-150,z,133,133,36,z,1,0.5588292209995416,None,,,,,36,133,133,3,823.0770064940007,,823.0664526820001,823.0770064940007,824.0626805820011,824.0626805820011,824.0626805820011,824.0626805820011,824.0714110620011,825.0622064420004,825.0622064420004,825.6264102469995,,,,,z,1,0.5588292209995416,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
50,c,134,134,33,c,1,0.5077090249997127,None,,,,,33,134,134,2,825.637672801,,825.626903841001,825.637672801,826.6204689139995,826.6204689139995,826.6204689139995,826.6204689139995,826.6277483209997,827.622960353001,827.622960353001,828.1402878879999,,,,,c,1,0.5077090249997127,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
